Age,"Core ComicID","Core SeriesID",Country,Crossover,"Full Title",Genre,Imprint,Issue,"Issue Nr",Language,Publisher,"Release Date","Release Year",Series,"Series Group","Story Arc",Subtitle,Title,Variant,"Cover Price","CovrPrice Value","Custom Label","Date Sold",Grade,"Grader Notes","Grading Company",Key,"Key Category","Key Reason","Label Type","My Value","Page Quality","Price Sold","Purchase Date","Purchase Price","Purchase Store","Purchase Year","Raw / Slabbed","Signed by","Slab Certification Number","Sold Year",Value,Barcode,"Cover Date","Cover Year",Format,"No. of Pages","Variant Description"
Modern,104231,8912,USA,,,"Action | Adventure | Super-Heroes",,1,1,English,"Marvel Comics","May 16, 1995",1995,"X-Men Archives Featuring Captain Britain",X-Men,,,,,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604261600111,"Jul 1995",1995,Comic,48,
Modern,104232,8912,USA,,,Adventure,,2,2,English,"Marvel Comics","Jun 27, 1995",1995,"X-Men Archives Featuring Captain Britain",X-Men,,,,,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604261600211,"Aug 1995",1995,Comic,48,
Modern,104233,8912,USA,,,Adventure,,3,3,English,"Marvel Comics","Aug 10, 1995",1995,"X-Men Archives Featuring Captain Britain",X-Men,,,,,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604261600311,"Sep 1995",1995,Comic,48,
Modern,104234,8912,USA,,,Adventure,,4,4,English,"Marvel Comics","Sep 14, 1995",1995,"X-Men Archives Featuring Captain Britain",X-Men,,,,,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604261600411,"Oct 1995",1995,Comic,48,
Modern,104235,8912,USA,,,Adventure,,5,5,English,"Marvel Comics","Oct 19, 1995",1995,"X-Men Archives Featuring Captain Britain",X-Men,,,,,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604261600511,"Nov 1995",1995,Comic,48,
Modern,104236,8912,USA,,,Adventure,,6,6,English,"Marvel Comics","Nov 24, 1995",1995,"X-Men Archives Featuring Captain Britain",X-Men,,,,,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604261600611,"Dec 1995",1995,Comic,48,
Modern,104237,8912,USA,,,Adventure,,7,7,English,"Marvel Comics","Dec 21, 1995",1995,"X-Men Archives Featuring Captain Britain",X-Men,,,,,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604261600711,"Jan 1996",1996,Comic,48,
Modern,104124,8894,USA,"Age of Apocalypse","Age of Apocalypse - Origins","Action | Adventure | Super-Heroes",,1A,1,English,"Marvel Comics","Jan 24, 1995",1995,"X-Men Chronicles",X-Men,,,Origins,A,3.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604206700111,"Mar 1995",1995,Comic,64,"Deluxe Direct Edition"
Modern,104125,8894,USA,"Age of Apocalypse","Age of Apocalypse - Shattered Dreams","Action | Adventure | Super-Heroes",,2A,2,English,"Marvel Comics","Apr 25, 1995",1995,"X-Men Chronicles",X-Men,,,"Shattered Dreams",A,3.95,,,,,,,No,,,,,,,,,,,Raw,,,,,00928101406502,"Jun 1995",1995,Comic,64,"Deluxe Direct Edition"
Modern,751497,8917,USA,"Age of Apocalypse","Age of Apocalypse ","Reference | Super-Heroes",,1B,1,English,"Marvel Comics","Dec 27, 1994",1994,"X-Men: Year of the Mutants Collectors' Preview",X-Men,,,,B,1.95,,,,,,,No,,,,,,,,,,,Raw,,,,,00928101645801,"Feb 1995",1995,Comic,48,"Newsstand Edition"
